trade_date,avg_pnl,total_volume_usd,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit_x,gross_loss_x,profit_factor_x,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level,total_pnl,pnl_std,num_trades,win_rate,total_volume,avg_trade_size,trade_size_std,total_abs_pnl,gross_profit_y,gross_loss_y,profit_factor_y
2023-12-17,-10.44,8380.22,73,Greed,Greed,,0,,0.0,10.436018,0.0,0,0.0,0.0,Greed,Greed (56-75),-10.44,,1,0.0,8380.22,8380.22,,10.44,0.0,10.436018,0.0
2023-12-30,27.82,8896.63,68,Greed,Greed,,0,,55.639576,0.0,55639.575999999994,0,1.0,50.0,Greed,Greed (56-75),55.64,39.34,2,0.5,8896.63,4448.32,260.35,55.64,55.639576,0.0,55639.575999999994
2024-01-02,35.11,272.58,71,Greed,Greed,,0,,35.112325,0.0,35112.325,0,1.0,100.0,Greed,Greed (56-75),35.11,,1,1.0,272.58,272.58,,35.11,35.112325,0.0,35112.325
2024-01-03,5.9,2328.65,70,Greed,Greed,,0,,11.79655,0.0,11796.55,0,1.0,50.0,Greed,Greed (56-75),11.8,8.34,2,0.5,2328.65,1164.32,1193.46,11.8,11.79655,0.0,11796.55
2024-01-06,-58.98,48541.13,70,Greed,Greed,,0,,2.9325,120.90096,0.024255390527916407,0,1.0,50.0,Greed,Greed (56-75),-117.97,87.56,2,0.5,48541.13,24270.56,31948.31,123.83,2.9325,120.90096,0.024255390527916407
2024-01-07,-0.24,1422.98,71,Greed,Greed,,0,,0.0,0.470701,0.0,0,1.0,50.0,Greed,Greed (56-75),-0.47,0.33,2,0.0,1422.98,711.49,941.02,0.47,0.0,0.470701,0.0
2024-01-09,0.0,6884.82,76,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,1.0,100.0,Greed,Extreme Greed (76-100),0.0,,1,0.0,6884.82,6884.82,,0.0,0.0,0.0,0.0
2024-01-10,0.33,5250.97,73,Greed,Greed,,0,,0.65786,0.0,657.86,0,1.0,50.0,Greed,Greed (56-75),0.66,0.47,2,0.5,5250.97,2625.48,3545.5,0.66,0.65786,0.0,657.86
2024-01-17,0.0,50744.8,60,Greed,Greed,,0,,0.0,0.0,0.0,0,1.0,50.0,Greed,Greed (56-75),0.0,0.0,2,0.0,50744.8,25372.4,28980.32,0.0,0.0,0.0,0.0
2024-01-18,222.32,92867.54,63,Greed,Greed,,0,,222.31716,0.0,222317.16,0,1.0,100.0,Greed,Greed (56-75),222.32,,1,1.0,92867.54,92867.54,,222.32,222.31716,0.0,222317.16
2024-01-20,0.0,6651.03,52,Neutral,Neutral,,0,,0.0,0.0,0.0,0,1.0,100.0,Neutral,Neutral (46-55),0.0,,1,0.0,6651.03,6651.03,,0.0,0.0,0.0,0.0
2024-01-24,0.05,3750.16,48,Neutral,Neutral,,0,,0.14928,0.0,149.28,0,0.5,33.33333333333333,Neutral,Neutral (46-55),0.15,0.09,3,0.33,3750.16,1250.05,2023.87,0.15,0.14928,0.0,149.28
2024-01-25,-959.9,20612.78,52,Neutral,Neutral,,0,,0.0,959.90329,0.0,0,0.0,0.0,Neutral,Neutral (46-55),-959.9,,1,0.0,20612.78,20612.78,,959.9,0.0,959.90329,0.0
2024-01-31,-0.47,93082.71,60,Greed,Greed,,0,,0.01001,3.739348,0.0026769372628597282,0,0.6,37.5,Greed,Greed (56-75),-3.73,0.93,8,0.12,93082.71,11635.34,16955.73,3.75,0.01001,3.739348,0.0026769372628597282
2024-02-05,14.5,1906.02,60,Greed,Greed,,0,,14.501782,0.0,14501.782,0,0.0,0.0,Greed,Greed (56-75),14.5,,1,1.0,1906.02,1906.02,,14.5,14.501782,0.0,14501.782
2024-02-06,-2.87,113411.16,64,Greed,Greed,,0,,4.411839,27.38012,0.16113293148459537,0,0.6,37.5,Greed,Greed (56-75),-22.97,7.06,8,0.25,113411.16,14176.4,18276.91,31.79,4.411839,27.38012,0.16113293148459537
2024-02-14,42.11,21253.32,74,Greed,Greed,,0,,84.2112,0.0,84211.2,0,0.0,0.0,Greed,Greed (56-75),84.21,59.55,2,0.5,21253.32,10626.66,10784.74,84.21,84.2112,0.0,84211.2
2024-02-15,22.83,760.73,72,Greed,Greed,,0,,22.8275,0.0,22827.5,0,1.0,100.0,Greed,Greed (56-75),22.83,,1,1.0,760.73,760.73,,22.83,22.8275,0.0,22827.5
2024-02-16,6.66,4449.02,72,Greed,Greed,,0,,33.29354,0.0,33293.54,0,1.5,60.0,Greed,Greed (56-75),33.29,6.85,5,0.8,4449.02,889.8,878.71,33.29,33.29354,0.0,33293.54
2024-02-17,37.54,8452.14,76,Extreme Greed,Extreme Greed,,0,,112.63032899999999,0.0,112630.32899999998,0,2.0,66.66666666666666,Greed,Extreme Greed (76-100),112.63,42.01,3,0.67,8452.14,2817.38,723.68,112.63,112.63032899999999,0.0,112630.32899999998
2024-02-18,5.28,127.92,72,Greed,Greed,,0,,5.28468,0.0,5284.679999999999,0,0.0,0.0,Greed,Greed (56-75),5.28,,1,1.0,127.92,127.92,,5.28,5.28468,0.0,5284.679999999999
2024-02-19,0.0,38924.6,75,Extreme Greed,Greed,,0,,0.0,0.0,0.0,0,1.0,100.0,Greed,Greed (56-75),0.0,,1,0.0,38924.6,38924.6,,0.0,0.0,0.0,0.0
2024-02-20,0.0,4713.43,72,Greed,Greed,,0,,0.0,0.0,0.0,0,1.0,100.0,Greed,Greed (56-75),0.0,,1,0.0,4713.43,4713.43,,0.0,0.0,0.0,0.0
2024-02-23,11.91,305.36,76,Extreme Greed,Extreme Greed,,0,,11.911018,0.0,11911.018,0,1.0,100.0,Greed,Extreme Greed (76-100),11.91,,1,1.0,305.36,305.36,,11.91,11.911018,0.0,11911.018
2024-02-26,20.2,406.34,72,Greed,Greed,,0,,20.19633,0.0,20196.329999999998,0,1.0,100.0,Greed,Greed (56-75),20.2,,1,1.0,406.34,406.34,,20.2,20.19633,0.0,20196.329999999998
2024-02-28,833.14,25385.04,82,Extreme Greed,Extreme Greed,,0,,833.141894,0.0,833141.894,0,0.0,0.0,Greed,Extreme Greed (76-100),833.14,,1,1.0,25385.04,25385.04,,833.14,833.141894,0.0,833141.894
2024-02-29,46.34,1061.23,80,Extreme Greed,Extreme Greed,,0,,46.336801,0.0,46336.801,0,1.0,100.0,Greed,Extreme Greed (76-100),46.34,,1,1.0,1061.23,1061.23,,46.34,46.336801,0.0,46336.801
2024-03-01,4.63,10725.75,80,Extreme Greed,Extreme Greed,,0,,9.25908,0.0,9259.08,0,1.0,50.0,Greed,Extreme Greed (76-100),9.26,6.55,2,0.5,10725.75,5362.88,7149.14,9.26,9.25908,0.0,9259.08
2024-03-04,108.96,59166.76,82,Extreme Greed,Extreme Greed,,0,,653.753927,0.0,653753.9269999999,0,1.0,50.0,Greed,Extreme Greed (76-100),653.75,161.77,6,0.67,59166.76,9861.13,20810.64,653.75,653.753927,0.0,653753.9269999999
2024-03-05,35.48,1753.92,90,Extreme Greed,Extreme Greed,,0,,70.951345,0.0,70951.345,0,1.0,50.0,Greed,Extreme Greed (76-100),70.95,1.52,2,1.0,1753.92,876.96,524.9,70.95,70.951345,0.0,70951.345
2024-03-08,121.46,2000.44,81,Extreme Greed,Extreme Greed,,0,,121.4626,0.0,121462.59999999999,0,0.0,0.0,Greed,Extreme Greed (76-100),121.46,,1,1.0,2000.44,2000.44,,121.46,121.4626,0.0,121462.59999999999
2024-03-11,81.75,3353.64,82,Extreme Greed,Extreme Greed,,0,,163.500173,0.0,163500.17299999998,0,1.0,50.0,Greed,Extreme Greed (76-100),163.5,110.22,2,1.0,3353.64,1676.82,2225.96,163.5,163.500173,0.0,163500.17299999998
2024-03-14,0.48,14.89,88,Extreme Greed,Extreme Greed,,0,,0.478791,0.0,478.791,0,0.0,0.0,Greed,Extreme Greed (76-100),0.48,,1,1.0,14.89,14.89,,0.48,0.478791,0.0,478.791
2024-03-15,366.39,16299.4,83,Extreme Greed,Extreme Greed,,0,,732.7812,0.0,732781.2,0,0.0,0.0,Greed,Extreme Greed (76-100),732.78,516.42,2,1.0,16299.4,8149.7,10814.11,732.78,732.7812,0.0,732781.2
2024-03-20,15.25,444.52,74,Greed,Greed,,0,,15.249,0.0,15249.0,0,0.0,0.0,Greed,Greed (56-75),15.25,,1,1.0,444.52,444.52,,15.25,15.249,0.0,15249.0
2024-03-24,0.0,11945.98,74,Greed,Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Greed (56-75),0.0,,1,0.0,11945.98,11945.98,,0.0,0.0,0.0,0.0
2024-03-26,45.48,3392.61,81,Extreme Greed,Extreme Greed,,0,,136.42578,0.0,136425.78,0,0.0,0.0,Greed,Extreme Greed (76-100),136.43,51.04,3,1.0,3392.61,1130.87,1269.28,136.43,136.42578,0.0,136425.78
2024-03-27,-6.06,997.52,83,Extreme Greed,Extreme Greed,,0,,0.0,6.0562,0.0,0,1.0,100.0,Greed,Extreme Greed (76-100),-6.06,,1,0.0,997.52,997.52,,6.06,0.0,6.0562,0.0
2024-03-28,0.0,7768.85,80,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100),0.0,,1,0.0,7768.85,7768.85,,0.0,0.0,0.0,0.0
2024-04-01,0.0,5501.48,79,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,2.0,100.0,Greed,Extreme Greed (76-100),0.0,0.0,2,0.0,5501.48,2750.74,3366.42,0.0,0.0,0.0,0.0
2024-04-02,0.0,319.34,79,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100),0.0,,1,0.0,319.34,319.34,,0.0,0.0,0.0,0.0
2024-04-04,0.0,843.38,70,Greed,Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Greed (56-75),0.0,,1,0.0,843.38,843.38,,0.0,0.0,0.0,0.0
2024-04-05,12.78,1247.52,79,Extreme Greed,Extreme Greed,,0,,12.77724,0.0,12777.24,0,0.0,0.0,Greed,Extreme Greed (76-100),12.78,,1,1.0,1247.52,1247.52,,12.78,12.77724,0.0,12777.24
2024-04-07,0.0,1525.9,78,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100),0.0,,1,0.0,1525.9,1525.9,,0.0,0.0,0.0,0.0
2024-04-10,195.92,12499.7,78,Extreme Greed,Extreme Greed,,0,,195.916968,0.0,195916.968,0,1.0,100.0,Greed,Extreme Greed (76-100),195.92,,1,1.0,12499.7,12499.7,,195.92,195.916968,0.0,195916.968
2024-04-12,7.6,14117.98,79,Extreme Greed,Extreme Greed,,0,,15.199604,0.0,15199.604000000001,0,1.0,50.0,Greed,Extreme Greed (76-100),15.2,10.75,2,0.5,14117.98,7058.99,9606.4,15.2,15.199604,0.0,15199.604000000001
2024-04-13,23.48,2279.7,72,Greed,Greed,,0,,46.96285,0.0,46962.85,0,0.0,0.0,Greed,Greed (56-75),46.96,33.21,2,0.5,2279.7,1139.85,1567.98,46.96,46.96285,0.0,46962.85
2024-04-14,5.76,293.62,72,Greed,Greed,,0,,5.7618,0.0,5761.8,0,1.0,100.0,Greed,Greed (56-75),5.76,,1,1.0,293.62,293.62,,5.76,5.7618,0.0,5761.8
2024-04-15,126.97,3999.71,74,Greed,Greed,,0,,126.96636,0.0,126966.35999999999,0,0.0,0.0,Greed,Greed (56-75),126.97,,1,1.0,3999.71,3999.71,,126.97,126.96636,0.0,126966.35999999999
2024-04-23,7.53,1093.63,71,Greed,Greed,,0,,22.593608,0.0,22593.608,0,0.5,33.33333333333333,Greed,Greed (56-75),22.59,6.46,3,1.0,1093.63,364.54,198.79,22.59,22.593608,0.0,22593.608
2024-04-29,4.26,480.64,67,Greed,Greed,,0,,4.258631,0.0,4258.631,0,1.0,100.0,Greed,Greed (56-75),4.26,,1,1.0,480.64,480.64,,4.26,4.258631,0.0,4258.631
2024-05-06,725.22,100136.78,71,Greed,Greed,,0,,725.22282,0.0,725222.82,0,1.0,100.0,Greed,Greed (56-75),725.22,,1,1.0,100136.78,100136.78,,725.22,725.22282,0.0,725222.82
