trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category
2023-12-17,-10.44,1,-10.44,0.0,8380.22,8380.22,10.44,73,Greed,Greed
2023-12-30,55.64,2,27.82,0.5,8896.63,4448.32,55.64,68,Greed,Greed
2024-01-02,35.11,1,35.11,1.0,272.58,272.58,35.11,71,Greed,Greed
2024-01-03,11.8,2,5.9,0.5,2328.65,1164.32,11.8,70,Greed,Greed
2024-01-06,-117.97,2,-58.98,0.5,48541.13,24270.56,123.83,70,Greed,Greed
2024-01-07,-0.47,2,-0.24,0.0,1422.98,711.49,0.47,71,Greed,Greed
2024-01-09,0.0,1,0.0,0.0,6884.82,6884.82,0.0,76,Extreme Greed,Extreme Greed
2024-01-10,0.66,2,0.33,0.5,5250.97,2625.48,0.66,73,Greed,Greed
2024-01-17,0.0,2,0.0,0.0,50744.8,25372.4,0.0,60,Greed,Greed
2024-01-18,222.32,1,222.32,1.0,92867.54,92867.54,222.32,63,Greed,Greed
2024-01-20,0.0,1,0.0,0.0,6651.03,6651.03,0.0,52,Neutral,Neutral
2024-01-24,0.15,3,0.05,0.33,3750.16,1250.05,0.15,48,Neutral,Neutral
2024-01-25,-959.9,1,-959.9,0.0,20612.78,20612.78,959.9,52,Neutral,Neutral
2024-01-31,-3.73,8,-0.47,0.12,93082.71,11635.34,3.75,60,Greed,Greed
2024-02-05,14.5,1,14.5,1.0,1906.02,1906.02,14.5,60,Greed,Greed
2024-02-06,-22.97,8,-2.87,0.25,113411.16,14176.4,31.79,64,Greed,Greed
2024-02-14,84.21,2,42.11,0.5,21253.32,10626.66,84.21,74,Greed,Greed
2024-02-15,22.83,1,22.83,1.0,760.73,760.73,22.83,72,Greed,Greed
2024-02-16,33.29,5,6.66,0.8,4449.02,889.8,33.29,72,Greed,Greed
2024-02-17,112.63,3,37.54,0.67,8452.14,2817.38,112.63,76,Extreme Greed,Extreme Greed
2024-02-18,5.28,1,5.28,1.0,127.92,127.92,5.28,72,Greed,Greed
2024-02-19,0.0,1,0.0,0.0,38924.6,38924.6,0.0,75,Extreme Greed,Greed
2024-02-20,0.0,1,0.0,0.0,4713.43,4713.43,0.0,72,Greed,Greed
2024-02-23,11.91,1,11.91,1.0,305.36,305.36,11.91,76,Extreme Greed,Extreme Greed
2024-02-26,20.2,1,20.2,1.0,406.34,406.34,20.2,72,Greed,Greed
2024-02-28,833.14,1,833.14,1.0,25385.04,25385.04,833.14,82,Extreme Greed,Extreme Greed
2024-02-29,46.34,1,46.34,1.0,1061.23,1061.23,46.34,80,Extreme Greed,Extreme Greed
2024-03-01,9.26,2,4.63,0.5,10725.75,5362.88,9.26,80,Extreme Greed,Extreme Greed
2024-03-04,653.75,6,108.96,0.67,59166.76,9861.13,653.75,82,Extreme Greed,Extreme Greed
2024-03-05,70.95,2,35.48,1.0,1753.92,876.96,70.95,90,Extreme Greed,Extreme Greed
2024-03-08,121.46,1,121.46,1.0,2000.44,2000.44,121.46,81,Extreme Greed,Extreme Greed
