trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit,gross_loss,profit_factor,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level
2023-12-17,-10.44,1,-10.44,0.0,8380.22,8380.22,10.44,73,Greed,Greed,,0,,0.0,10.436018,0.0,0,0.0,0.0,Greed,Greed (56-75)
2023-12-30,55.64,2,27.82,0.5,8896.63,4448.32,55.64,68,Greed,Greed,,0,,55.639576,0.0,55639.575999999994,0,1.0,50.0,Greed,Greed (56-75)
2024-01-02,35.11,1,35.11,1.0,272.58,272.58,35.11,71,Greed,Greed,,0,,35.112325,0.0,35112.325,0,1.0,100.0,Greed,Greed (56-75)
2024-01-03,11.8,2,5.9,0.5,2328.65,1164.32,11.8,70,Greed,Greed,,0,,11.79655,0.0,11796.55,0,1.0,50.0,Greed,Greed (56-75)
2024-01-06,-117.97,2,-58.98,0.5,48541.13,24270.56,123.83,70,Greed,Greed,,0,,2.9325,120.90096,0.024255390527916407,0,1.0,50.0,Greed,Greed (56-75)
2024-01-07,-0.47,2,-0.24,0.0,1422.98,711.49,0.47,71,Greed,Greed,,0,,0.0,0.470701,0.0,0,1.0,50.0,Greed,Greed (56-75)
2024-01-09,0.0,1,0.0,0.0,6884.82,6884.82,0.0,76,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,1.0,100.0,Greed,Extreme Greed (76-100)
2024-01-10,0.66,2,0.33,0.5,5250.97,2625.48,0.66,73,Greed,Greed,,0,,0.65786,0.0,657.86,0,1.0,50.0,Greed,Greed (56-75)
2024-01-17,0.0,2,0.0,0.0,50744.8,25372.4,0.0,60,Greed,Greed,,0,,0.0,0.0,0.0,0,1.0,50.0,Greed,Greed (56-75)
2024-01-18,222.32,1,222.32,1.0,92867.54,92867.54,222.32,63,Greed,Greed,,0,,222.31716,0.0,222317.16,0,1.0,100.0,Greed,Greed (56-75)
2024-01-20,0.0,1,0.0,0.0,6651.03,6651.03,0.0,52,Neutral,Neutral,,0,,0.0,0.0,0.0,0,1.0,100.0,Neutral,Neutral (46-55)
2024-01-24,0.15,3,0.05,0.33,3750.16,1250.05,0.15,48,Neutral,Neutral,,0,,0.14928,0.0,149.28,0,0.5,33.33333333333333,Neutral,Neutral (46-55)
