Account,total_pnl,avg_pnl_per_trade,num_trades,win_rate,total_volume,avg_trade_size,total_abs_pnl,trader_type,profit_status,frequency_segment,risk_segment,performance_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,149229.64,1320.62,113,0.32,2997305.1,26524.82,165443.21,Frequent Trader,Profitable,High Frequency (100+ trades),High Risk (Large Positions),Star Performer (>$1k)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,397.58,8.64,46,0.46,33331.63,724.6,455.87,Regular Trader,Profitable,Medium Frequency (20-99 trades),Low Risk (Small Positions),Profitable
0x271b280974205ca63b716753467d5a371de622ab,17.67,2.95,6,0.33,12262.04,2043.67,17.67,Occasional Trader,Profitable,Low Frequency (1-19 trades),Low Risk (Small Positions),Profitable
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-120.1,-1.88,64,0.45,39193.39,612.4,1496.84,Regular Trader,Unprofitable,Medium Frequency (20-99 trades),Low Risk (Small Positions),Small Loser
0x2c229d22b100a7beb69122eed721cee9b24011dd,344.1,43.01,8,0.62,21122.36,2640.3,395.02,Occasional Trader,Profitable,Low Frequency (1-19 trades),Medium Risk,Profitable
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-120.82,-60.41,2,0.0,1800.16,900.08,120.82,Occasional Trader,Unprofitable,Low Frequency (1-19 trades),Low Risk (Small Positions),Small Loser
0x39cef799f8b69da1995852eea189df24eb5cae3c,-34.31,-3.12,11,0.27,16894.71,1535.88,102.48,Occasional Trader,Unprofitable,Low Frequency (1-19 trades),Low Risk (Small Positions),Small Loser
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2732.45,910.82,3,0.33,21298.9,7099.63,2732.45,Occasional Trader,Profitable,Low Frequency (1-19 trades),High Risk (Large Positions),Star Performer (>$1k)
0x430f09841d65beb3f27765503d0f850b8bce7713,4531.33,188.81,24,0.42,153749.41,6406.23,4531.33,Regular Trader,Profitable,Medium Frequency (20-99 trades),High Risk (Large Positions),Star Performer (>$1k)
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,215.74,6.96,31,0.26,12265.35,395.66,229.72,Regular Trader,Profitable,Medium Frequency (20-99 trades),Low Risk (Small Positions),Profitable
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,340.99,37.89,9,0.22,22924.7,2547.19,340.99,Occasional Trader,Profitable,Low Frequency (1-19 trades),Low Risk (Small Positions),Profitable
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7154.83,70.15,102,0.32,1945888.37,19077.34,7232.6,Frequent Trader,Profitable,High Frequency (100+ trades),High Risk (Large Positions),Star Performer (>$1k)
0x513b8629fe877bb581bf244e326a047b249c4ff1,52981.12,71.02,746,0.41,17910227.9,24008.35,70447.27,Frequent Trader,Profitable,High Frequency (100+ trades),High Risk (Large Positions),Star Performer (>$1k)
0x6d6a4b953f202f8df5bed40692e7fd865318264a,410.97,51.37,8,0.62,4476.83,559.6,410.97,Occasional Trader,Profitable,Low Frequency (1-19 trades),Low Risk (Small Positions),Profitable
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1306.8,261.36,5,0.2,12489.6,2497.92,1464.54,Occasional Trader,Profitable,Low Frequency (1-19 trades),Low Risk (Small Positions),Star Performer (>$1k)
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,103670.13,198.22,523,0.26,1005950.9,1923.42,121103.22,Frequent Trader,Profitable,High Frequency (100+ trades),Low Risk (Small Positions),Star Performer (>$1k)
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4433.74,34.37,129,0.77,396538.42,3073.94,5649.05,Frequent Trader,Profitable,High Frequency (100+ trades),Medium Risk,Star Performer (>$1k)
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,16.29,2.71,6,0.67,4432.91,738.82,16.29,Occasional Trader,Profitable,Low Frequency (1-19 trades),Low Risk (Small Positions),Profitable
0x8170715b3b381dffb7062c0298972d4727a0a63b,-81300.1,-4278.95,19,0.47,249317.83,13121.99,85678.66,Occasional Trader,Unprofitable,Low Frequency (1-19 trades),High Risk (Large Positions),Big Loser (<-$1k)
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,6642.98,214.29,31,0.35,130897.01,4222.48,6643.01,Regular Trader,Profitable,Medium Frequency (20-99 trades),Medium Risk,Star Performer (>$1k)
0x8477e447846c758f5a675856001ea72298fd9cb5,600.14,8.45,71,0.24,60863.38,857.23,1008.96,Regular Trader,Profitable,Medium Frequency (20-99 trades),Low Risk (Small Positions),Profitable
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,964.72,160.79,6,0.83,18572.24,3095.37,964.72,Occasional Trader,Profitable,Low Frequency (1-19 trades),Medium Risk,Profitable
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,879.27,10.99,80,0.35,81136.67,1014.21,879.27,Regular Trader,Profitable,Medium Frequency (20-99 trades),Low Risk (Small Positions),Profitable
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,40133.76,98.61,407,0.41,1241997.93,3051.59,40133.76,Frequent Trader,Profitable,High Frequency (100+ trades),Medium Risk,Star Performer (>$1k)
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,200.9,50.23,4,0.25,33527.69,8381.92,468.19,Occasional Trader,Profitable,Low Frequency (1-19 trades),High Risk (Large Positions),Profitable
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,30852.46,250.83,123,0.37,635127.16,5163.64,33098.12,Frequent Trader,Profitable,High Frequency (100+ trades),Medium Risk,Star Performer (>$1k)
0xb899e522b5715391ae1d4f137653e7906c5e2115,-62.8,-4.49,14,0.36,605413.73,43243.84,379.01,Occasional Trader,Unprofitable,Low Frequency (1-19 trades),High Risk (Large Positions),Small Loser
0xbaaaf6571ab7d571043ff1e313a9609a10637864,1229.72,11.71,105,0.48,158181.12,1506.49,1229.72,Frequent Trader,Profitable,High Frequency (100+ trades),Low Risk (Small Positions),Star Performer (>$1k)
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,8958.36,814.4,11,0.36,96541.68,8776.52,8958.36,Occasional Trader,Profitable,Low Frequency (1-19 trades),High Risk (Large Positions),Star Performer (>$1k)
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2389.69,23.2,103,0.46,181281.44,1760.01,2738.75,Frequent Trader,Profitable,High Frequency (100+ trades),Low Risk (Small Positions),Star Performer (>$1k)
